cell,frip,uniq_frags,mt_content,sequencing_depth,dup_level,frac_open,mapping_rate,plate,batch
mSp_rep10_126,0.749071,11538.0,0.026,296307,0.9418350000000001,0.079894,73.46,rep10,Sp#2 (n=2688)
mSp_rep10_384,0.763566,129.0,0.0,287,0.245614,0.0013189999999999999,79.09,rep10,Sp#2 (n=2688)
mSp_rep11_126,0.755897,28967.0,0.022541,721910,0.949909,0.16598800000000002,86.36,rep11,Sp#2 (n=2688)
mSp_rep11_384,0.773414,326.0,0.015106,752,0.014881,0.0033179999999999998,69.75,rep11,Sp#2 (n=2688)
mSp_rep1_025,0.608833,281.0,0.11356500000000001,6520,0.942111,0.0019850000000000002,94.45,rep1,Sp#1 (n=960)
mSp_rep1_096,0.673913,92.0,0.0,299,0.08910900000000001,0.0008449999999999999,64.55,rep1,Sp#1 (n=960)
mSp_rep2_052,0.712766,133.0,0.056738,445,0.287879,0.001332,77.64,rep2,Sp#1 (n=960)
mSp_rep2_096,0.718023,163.0,0.052326,597,0.05494500000000001,0.001652,57.04,rep2,Sp#1 (n=960)
mSp_rep3_092,0.8670209999999999,70.0,0.62766,3841,0.9315620000000001,0.000576,98.07,rep3,Sp#1 (n=960)
mSp_rep3_126,0.7181069999999999,24735.0,0.019736,816019,0.9617889999999999,0.150322,84.77,rep3,Sp#1 (n=960)
mSp_rep3_256,0.69375,80.0,0.0,142,0.0,0.0007559999999999999,69.01,rep3,Sp#1 (n=960)
mSp_rep3_270,0.6545449999999999,54.0,0.018182,116,0.0,0.000487,68.97,rep3,Sp#1 (n=960)
mSp_rep3_313,0.7564770000000001,188.0,0.025907,330,0.0,0.001947,68.18,rep3,Sp#1 (n=960)
mSp_rep3_366,0.692308,36.0,0.076923,101,0.0,0.000346,63.86,rep3,Sp#1 (n=960)
mSp_rep3_372,0.772059,67.0,0.014706,172,0.0,0.000705,64.53,rep3,Sp#1 (n=960)
mSp_rep3_378,0.7875,40.0,0.0,124,0.0,0.000397,45.16,rep3,Sp#1 (n=960)
