,dup_level,frac_open,frip,library_size,mapping_rate,mt_content,sequencing_depth,uniq_frags,plate,batch
mSp_rep10_001,0.9463389999999999,0.177978,0.7264189999999999,34986.0,97.05,0.008089,706791,34703.0,rep10,Sp#2 (n=2688)
mSp_rep10_002,0.9492200000000001,0.216714,0.670139,48428.0,96.44,0.02164,1055503,47380.0,rep10,Sp#2 (n=2688)
mSp_rep10_003,0.9491379999999999,0.124075,0.74445,21665.0,96.63,0.005031,464232,21556.0,rep10,Sp#2 (n=2688)
mSp_rep10_004,0.947677,0.178362,0.682887,34349.0,96.82,0.017700999999999998,719629,33741.0,rep10,Sp#2 (n=2688)
mSp_rep10_005,0.945384,0.20439100000000002,0.668207,44350.0,97.06,0.011364,879974,43846.0,rep10,Sp#2 (n=2688)
mSp_rep10_006,0.947666,0.174378,0.73229,31366.0,96.89,0.02034,655687,30728.0,rep10,Sp#2 (n=2688)
mSp_rep10_007,0.9504950000000001,0.168998,0.735624,30294.0,96.6,0.013633000000000001,669023,29881.0,rep10,Sp#2 (n=2688)
mSp_rep10_008,0.9456829999999999,0.107102,0.7785979999999999,16793.0,97.22,0.035312,338924,16200.0,rep10,Sp#2 (n=2688)
mSp_rep10_009,0.94637,0.071042,0.743872,11137.0,96.81,0.07219199999999999,236706,10333.0,rep10,Sp#2 (n=2688)
mSp_rep10_010,0.9489569999999999,0.164207,0.751131,30279.0,97.02,0.011328,645177,29936.0,rep10,Sp#2 (n=2688)
mSp_rep10_011,0.950625,0.177837,0.731577,35349.0,96.88,0.029421,787617,34309.0,rep10,Sp#2 (n=2688)
mSp_rep10_012,0.946991,0.166218,0.747437,31018.0,95.57,0.020600999999999998,652034,30379.0,rep10,Sp#2 (n=2688)
mSp_rep10_013,0.945808,0.09553500000000001,0.741475,15426.0,96.89,0.020031,313665,15117.0,rep10,Sp#2 (n=2688)
mSp_rep10_014,0.944685,0.190377,0.720527,36975.0,97.17,0.008709,726990,36653.0,rep10,Sp#2 (n=2688)
mSp_rep10_015,0.948549,0.199639,0.680864,41451.0,96.82,0.025476,886158,40395.0,rep10,Sp#2 (n=2688)
mSp_rep10_016,0.947177,0.154318,0.649899,31181.0,97.5,0.00898,636066,30901.0,rep10,Sp#2 (n=2688)
mSp_rep10_017,0.9453459999999999,0.15542,0.697909,28551.0,96.84,0.021856,575286,27927.0,rep10,Sp#2 (n=2688)
mSp_rep10_018,0.9416200000000001,0.058169000000000005,0.705019,9304.0,97.11,0.044926999999999995,177951,8886.0,rep10,Sp#2 (n=2688)
mSp_rep10_019,0.94631,0.16806300000000002,0.753783,30528.0,97.47,0.016280000000000003,614044,30031.0,rep10,Sp#2 (n=2688)
mSp_rep10_020,0.944808,0.139075,0.752908,25019.0,96.96,0.003597,490368,24929.0,rep10,Sp#2 (n=2688)
mSp_rep10_021,0.94921,0.16892100000000002,0.764774,32152.0,97.16,0.029081,695252,31217.0,rep10,Sp#2 (n=2688)
mSp_rep10_022,0.9494090000000001,0.03228,0.737459,5243.0,95.65,0.16059500000000002,130824,4401.0,rep10,Sp#2 (n=2688)
mSp_rep10_023,0.946566,0.080163,0.6872119999999999,12809.0,96.62,0.041924,267984,12272.0,rep10,Sp#2 (n=2688)
mSp_rep10_024,0.947622,0.179451,0.7353850000000001,35306.0,97.22,0.035970999999999996,741745,34036.0,rep10,Sp#2 (n=2688)
mSp_rep10_025,0.947428,0.209182,0.687164,43208.0,96.54,0.023236,910138,42204.0,rep10,Sp#2 (n=2688)
mSp_rep10_026,0.9487209999999999,0.182704,0.739373,34795.0,97.01,0.013335,739309,34331.0,rep10,Sp#2 (n=2688)
mSp_rep10_027,0.951003,0.185932,0.7071890000000001,37181.0,97.11,0.005998,819952,36958.0,rep10,Sp#2 (n=2688)
mSp_rep10_028,0.9443799999999999,0.150872,0.745631,27751.0,96.85,0.015315,545522,27326.0,rep10,Sp#2 (n=2688)
mSp_rep10_029,0.9452299999999999,0.18957000000000002,0.7346699999999999,36366.0,97.19,0.018149000000000002,723504,35706.0,rep10,Sp#2 (n=2688)
mSp_rep10_030,0.9462809999999999,0.17491600000000002,0.747663,32092.0,96.87,0.017075999999999997,651450,31544.0,rep10,Sp#2 (n=2688)
mSp_rep10_031,0.94942,0.180578,0.744576,34889.0,97.11,0.017713,752274,34271.0,rep10,Sp#2 (n=2688)
mSp_rep10_032,0.947526,0.192824,0.71708,37576.0,95.58,0.011497,795901,37144.0,rep10,Sp#2 (n=2688)
mSp_rep10_033,0.9378059999999999,0.145262,0.766832,25175.0,97.18,0.035472000000000004,445658,24282.0,rep10,Sp#2 (n=2688)
mSp_rep10_034,0.946782,0.16383599999999998,0.725855,28401.0,96.76,0.009084,585018,28143.0,rep10,Sp#2 (n=2688)
mSp_rep10_035,0.944258,0.17189300000000002,0.7467600000000001,31093.0,96.9,0.008877,608924,30817.0,rep10,Sp#2 (n=2688)
mSp_rep10_036,0.945984,0.190928,0.6986760000000001,37000.0,96.59,0.008865000000000001,749917,36672.0,rep10,Sp#2 (n=2688)
mSp_rep10_037,0.945105,0.15196099999999998,0.75755,25927.0,97.44,0.018668,511142,25443.0,rep10,Sp#2 (n=2688)
mSp_rep10_038,0.866815,0.007788,0.6927369999999999,1074.0,97.42,0.135009,10259,929.0,rep10,Sp#2 (n=2688)
mSp_rep10_039,0.9443959999999999,0.072272,0.664933,12399.0,94.55,0.046455,258888,11823.0,rep10,Sp#2 (n=2688)
mSp_rep10_040,0.944147,0.15997999999999998,0.727521,31085.0,97.31,0.012418,601139,30699.0,rep10,Sp#2 (n=2688)
mSp_rep10_041,0.9432530000000001,0.182282,0.713333,34500.0,96.89,0.015941999999999998,666663,33950.0,rep10,Sp#2 (n=2688)
mSp_rep10_042,0.9397780000000001,0.175505,0.715704,36972.0,97.04,0.008439,666618,36660.0,rep10,Sp#2 (n=2688)
mSp_rep10_043,0.944765,0.124715,0.7291880000000001,21262.0,97.17,0.019236000000000003,420510,20853.0,rep10,Sp#2 (n=2688)
mSp_rep10_044,0.945586,0.157252,0.759141,27813.0,97.29,0.032287,564744,26915.0,rep10,Sp#2 (n=2688)
mSp_rep10_045,0.9505110000000001,0.190557,0.751664,38003.0,97.31,0.040549,849144,36462.0,rep10,Sp#2 (n=2688)
mSp_rep10_046,0.952691,0.07933,0.712527,13810.0,96.32,0.112238,345175,12260.0,rep10,Sp#2 (n=2688)
mSp_rep10_047,0.9473209999999999,0.190441,0.753508,37910.0,96.29,0.01923,791785,37181.0,rep10,Sp#2 (n=2688)
mSp_rep10_048,0.947018,0.163644,0.763147,29797.0,97.18,0.030641,618125,28884.0,rep10,Sp#2 (n=2688)
mSp_rep10_049,0.944749,0.16488599999999998,0.7498859999999999,30576.0,96.96,0.020899,607031,29937.0,rep10,Sp#2 (n=2688)
mSp_rep10_050,0.9482870000000001,0.141483,0.760225,24254.0,97.12,0.035334,515941,23397.0,rep10,Sp#2 (n=2688)
mSp_rep10_051,0.948894,0.115069,0.737408,19814.0,96.88,0.032704000000000004,431100,19166.0,rep10,Sp#2 (n=2688)
mSp_rep10_052,0.9451709999999999,0.099224,0.733622,15493.0,96.81,0.020525,312749,15175.0,rep10,Sp#2 (n=2688)
mSp_rep10_053,0.946874,0.19585999999999998,0.722366,39516.0,97.03,0.012451,810409,39024.0,rep10,Sp#2 (n=2688)
mSp_rep10_054,0.943167,0.166206,0.6923699999999999,33576.0,96.7,0.009888,648385,33244.0,rep10,Sp#2 (n=2688)
mSp_rep10_055,0.9474899999999999,0.08122599999999999,0.6977760000000001,13265.0,96.65,0.014625,277246,13071.0,rep10,Sp#2 (n=2688)
mSp_rep10_056,0.945192,0.08154600000000001,0.736762,13106.0,97.21,0.053716,265608,12402.0,rep10,Sp#2 (n=2688)
mSp_rep10_057,0.9396530000000001,0.169677,0.7425729999999999,31844.0,97.05,0.017774,574780,31278.0,rep10,Sp#2 (n=2688)
mSp_rep10_058,0.948752,0.164989,0.742644,29226.0,97.31,0.025594,624483,28478.0,rep10,Sp#2 (n=2688)
mSp_rep10_059,0.946298,0.180309,0.7001189999999999,36963.0,96.59,0.025512,764115,36020.0,rep10,Sp#2 (n=2688)
mSp_rep10_060,0.942349,0.051649,0.673122,8029.0,96.79,0.009839,151725,7950.0,rep10,Sp#2 (n=2688)
mSp_rep10_061,0.946475,0.175352,0.740859,33750.0,95.55,0.025304,705645,32896.0,rep10,Sp#2 (n=2688)
mSp_rep10_062,0.940614,0.161376,0.7544850000000001,28096.0,97.08,0.006585,513466,27911.0,rep10,Sp#2 (n=2688)
mSp_rep10_063,0.950981,0.193119,0.728947,39697.0,96.75,0.037308,906917,38216.0,rep10,Sp#2 (n=2688)
mSp_rep10_064,0.942167,0.167986,0.748235,30872.0,96.51,0.010657,587046,30543.0,rep10,Sp#2 (n=2688)
mSp_rep10_065,0.946501,0.17570999999999998,0.7371270000000001,33480.0,97.3,0.032079,688422,32406.0,rep10,Sp#2 (n=2688)
mSp_rep10_066,0.942372,0.16259300000000002,0.741665,32483.0,97.07,0.038174,624883,31243.0,rep10,Sp#2 (n=2688)
mSp_rep10_067,0.944975,0.192401,0.72031,39138.0,96.92,0.032194,786424,37878.0,rep10,Sp#2 (n=2688)
mSp_rep10_068,0.9442299999999999,0.108741,0.754905,17636.0,96.56,0.01599,349701,17354.0,rep10,Sp#2 (n=2688)
mSp_rep10_069,0.9498700000000001,0.21668800000000002,0.6660590000000001,43370.0,95.94,0.013441999999999999,961455,42787.0,rep10,Sp#2 (n=2688)
mSp_rep10_070,0.953499,0.19378499999999999,0.73056,38708.0,96.96,0.020203,915732,37926.0,rep10,Sp#2 (n=2688)
